#SEQID	AVERAGE_POS_CONS	MAX_POS_CONS	MIN_POS_CONS
A0A075B6H9_ENSG00000211637_ENSEMBL_ORTHOLOGUES_ALN_IDR_20_32_CONS.out.txt	0.64	0.89	0.43
A0A075B6I1_ENSG00000211639_ENSEMBL_ORTHOLOGUES_ALN_IDR_21_33_CONS.out.txt	0.65	0.89	0.43
A0A075B6I3_ENSG00000211641_ENSEMBL_ORTHOLOGUES_ALN_IDR_21_32_CONS.out.txt	0.45	0.61	0.27
A0A075B6I4_ENSG00000211642_ENSEMBL_ORTHOLOGUES_ALN_IDR_22_32_CONS.out.txt	0.67	1.00	0.23
A0A075B6I6_ENSG00000211645_ENSEMBL_ORTHOLOGUES_ALN_IDR_22_32_CONS.out.txt	0.80	1.00	0.54
A0A075B6I7_ENSG00000211647_ENSEMBL_ORTHOLOGUES_ALN_IDR_20_32_CONS.out.txt	0.79	1.00	0.55
A0A075B6I9_ENSG00000211649_ENSEMBL_ORTHOLOGUES_ALN_IDR_17_30_CONS.out.txt	0.87	0.92	0.79
A0A075B6J1_ENSG00000211654_ENSEMBL_ORTHOLOGUES_ALN_IDR_17_33_CONS.out.txt	0.71	0.82	0.60
A0A075B6J2_ENSG00000211656_ENSEMBL_ORTHOLOGUES_ALN_IDR_22_32_CONS.out.txt	0.53	0.65	0.30
A0A075B6J9_ENSG00000211664_ENSEMBL_ORTHOLOGUES_ALN_IDR_22_32_CONS.out.txt	0.43	0.62	0.27
A0A075B6K6_ENSG00000211672_ENSEMBL_ORTHOLOGUES_ALN_IDR_19_31_CONS.out.txt	0.60	0.85	0.23
A0A075B6V5_ENSG00000211815_ENSEMBL_ORTHOLOGUES_ALN_IDR_5_15_CONS.out.txt	0.32	0.60	0.04
A0A075B6W5_ENSG00000211803_ENSEMBL_ORTHOLOGUES_ALN_IDR_6_21_CONS.out.txt	0.54	0.69	0.40
A0A087WSX0_ENSG00000211650_ENSEMBL_ORTHOLOGUES_ALN_IDR_21_32_CONS.out.txt	0.84	0.96	0.71
A0A087WSZ9_ENSG00000259092_ENSEMBL_ORTHOLOGUES_ALN_IDR_3_17_CONS.out.txt	NA	NA	NA
A0A087WTH5_ENSG00000276289_ENSEMBL_ORTHOLOGUES_ALN_IDR_56_69_CONS.out.txt	0.84	1.00	0.59
A0A096LNP1_ENSG00000225805_ENSEMBL_ORTHOLOGUES_ALN_IDR_2_13_CONS.out.txt	0.80	1.00	0.51
A0A096LP49_ENSG00000260220_ENSEMBL_ORTHOLOGUES_ALN_IDR_149_166_CONS.out.txt	0.83	1.00	0.37
A0A096LP49_ENSG00000260220_ENSEMBL_ORTHOLOGUES_ALN_IDR_282_301_CONS.out.txt	0.56	0.83	0.40
A0A096LP49_ENSG00000260220_ENSEMBL_ORTHOLOGUES_ALN_IDR_368_389_CONS.out.txt	0.75	0.87	0.41
A0A096LP49_ENSG00000260220_ENSEMBL_ORTHOLOGUES_ALN_IDR_635_683_CONS.out.txt	0.68	1.00	0.44
A0A096LP49_ENSG00000260220_ENSEMBL_ORTHOLOGUES_ALN_IDR_817_847_CONS.out.txt	0.80	1.00	0.29
A0A0A0MRZ9_ENSG00000211643_ENSEMBL_ORTHOLOGUES_ALN_IDR_19_33_CONS.out.txt	0.67	0.80	0.52
A0A0A6YYL3_ENSG00000233917_ENSEMBL_ORTHOLOGUES_ALN_IDR_291_306_CONS.out.txt	0.88	0.95	0.77
A0A0A6YYL3_ENSG00000233917_ENSEMBL_ORTHOLOGUES_ALN_IDR_455_499_CONS.out.txt	NA	NA	NA
