#SEQID	AVERAGE_POS_CONS	MAX_POS_CONS	MIN_POS_CONS
A0A024RBG1_ENSG00000177144_ENSEMBL_ORTHOLOGUES_ALN_IDR_149_179_CONS.out.txt	0.31	0.50	0.17
A0A075B6T7_ENSG00000211780_ENSEMBL_ORTHOLOGUES_ALN_IDR_1_11_CONS.out.txt	NA	NA	NA
A0A087WTH1_ENSG00000281991_ENSEMBL_ORTHOLOGUES_ALN_IDR_6_21_CONS.out.txt	0.63	1.00	0.34
A0A087WTH5_ENSG00000276289_ENSEMBL_ORTHOLOGUES_ALN_IDR_27_37_CONS.out.txt	NA	NA	NA
A0A087WUL8_ENSG00000271383_ENSEMBL_ORTHOLOGUES_ALN_IDR_1_1400_CONS.out.txt	0.59	0.73	0.44
A0A087WVF3_ENSG00000274419_ENSEMBL_ORTHOLOGUES_ALN_IDR_357_449_CONS.out.txt	0.70	0.89	0.48
A0A087WXM9_ENSG00000239642_ENSEMBL_ORTHOLOGUES_ALN_IDR_24_42_CONS.out.txt	0.51	0.79	0.36
A0A087WXM9_ENSG00000239642_ENSEMBL_ORTHOLOGUES_ALN_IDR_55_145_CONS.out.txt	0.46	0.91	0.21
A0A087WXM9_ENSG00000239642_ENSEMBL_ORTHOLOGUES_ALN_IDR_213_273_CONS.out.txt	0.40	0.74	0.18
A0A087WXS9_ENSG00000274933_ENSEMBL_ORTHOLOGUES_ALN_IDR_357_449_CONS.out.txt	0.70	0.89	0.48
A0A087WXS9_ENSG00000274933_ENSEMBL_ORTHOLOGUES_ALN_IDR_508_524_CONS.out.txt	NA	NA	NA
A0A087X179_ENSG00000278599_ENSEMBL_ORTHOLOGUES_ALN_IDR_357_449_CONS.out.txt	0.73	0.89	0.51
A0A087X179_ENSG00000278599_ENSEMBL_ORTHOLOGUES_ALN_IDR_508_524_CONS.out.txt	NA	NA	NA
A0A087X1G2_ENSG00000273513_ENSEMBL_ORTHOLOGUES_ALN_IDR_357_447_CONS.out.txt	0.70	0.89	0.52
A0A087X1G2_ENSG00000273513_ENSEMBL_ORTHOLOGUES_ALN_IDR_508_524_CONS.out.txt	NA	NA	NA
A0A096LP49_ENSG00000260220_ENSEMBL_ORTHOLOGUES_ALN_IDR_1_144_CONS.out.txt	0.46	0.87	0.13
A0A096LP49_ENSG00000260220_ENSEMBL_ORTHOLOGUES_ALN_IDR_169_278_CONS.out.txt	0.51	0.97	0.21
A0A096LP49_ENSG00000260220_ENSEMBL_ORTHOLOGUES_ALN_IDR_304_365_CONS.out.txt	0.53	0.75	0.30
A0A096LP49_ENSG00000260220_ENSEMBL_ORTHOLOGUES_ALN_IDR_394_630_CONS.out.txt	0.43	0.72	0.14
A0A096LP49_ENSG00000260220_ENSEMBL_ORTHOLOGUES_ALN_IDR_686_813_CONS.out.txt	0.51	0.91	0.17
A0A096LP49_ENSG00000260220_ENSEMBL_ORTHOLOGUES_ALN_IDR_854_1017_CONS.out.txt	0.45	0.96	0.21
A0A0A6YYL3_ENSG00000233917_ENSEMBL_ORTHOLOGUES_ALN_IDR_1_84_CONS.out.txt	NA	NA	NA
A0A0A6YYL3_ENSG00000233917_ENSEMBL_ORTHOLOGUES_ALN_IDR_337_439_CONS.out.txt	0.74	0.97	0.44
A0A0B4J2D5_ENSG00000280071_ENSEMBL_ORTHOLOGUES_ALN_IDR_1_25_CONS.out.txt	0.44	0.80	0.32
A0A0B4J2F2_ENSG00000275993_ENSEMBL_ORTHOLOGUES_ALN_IDR_1_18_CONS.out.txt	0.42	0.60	0.22
A0A0B4J2F2_ENSG00000275993_ENSEMBL_ORTHOLOGUES_ALN_IDR_355_395_CONS.out.txt	0.51	0.77	0.37
A0A0B4J2F2_ENSG00000275993_ENSEMBL_ORTHOLOGUES_ALN_IDR_400_586_CONS.out.txt	0.50	0.70	0.26
A0A0B4J2F2_ENSG00000275993_ENSEMBL_ORTHOLOGUES_ALN_IDR_598_654_CONS.out.txt	0.42	0.63	0.24
A0A0B4J2F2_ENSG00000275993_ENSEMBL_ORTHOLOGUES_ALN_IDR_658_755_CONS.out.txt	0.46	0.81	0.19
A0A0D9SF12_ENSG00000280670_ENSEMBL_ORTHOLOGUES_ALN_IDR_52_63_CONS.out.txt	0.58	1.00	0.26
A0A0J9YWL9_ENSG00000282815_ENSEMBL_ORTHOLOGUES_ALN_IDR_156_370_CONS.out.txt	0.43	0.63	0.21
A0A0J9YWL9_ENSG00000282815_ENSEMBL_ORTHOLOGUES_ALN_IDR_380_391_CONS.out.txt	NA	NA	NA
A0A0J9YWL9_ENSG00000282815_ENSEMBL_ORTHOLOGUES_ALN_IDR_401_411_CONS.out.txt	NA	NA	NA
A0A0J9YWL9_ENSG00000282815_ENSEMBL_ORTHOLOGUES_ALN_IDR_445_456_CONS.out.txt	NA	NA	NA
A0A0J9YWL9_ENSG00000282815_ENSEMBL_ORTHOLOGUES_ALN_IDR_466_478_CONS.out.txt	NA	NA	NA
A0A0J9YWL9_ENSG00000282815_ENSEMBL_ORTHOLOGUES_ALN_IDR_485_498_CONS.out.txt	NA	NA	NA
A0A0J9YWL9_ENSG00000282815_ENSEMBL_ORTHOLOGUES_ALN_IDR_508_519_CONS.out.txt	NA	NA	NA
A0A0J9YWL9_ENSG00000282815_ENSEMBL_ORTHOLOGUES_ALN_IDR_529_541_CONS.out.txt	NA	NA	NA
A0A0J9YWL9_ENSG00000282815_ENSEMBL_ORTHOLOGUES_ALN_IDR_550_565_CONS.out.txt	NA	NA	NA
A0A0J9YWL9_ENSG00000282815_ENSEMBL_ORTHOLOGUES_ALN_IDR_569_955_CONS.out.txt	0.51	0.80	0.41
A0A0J9YXQ4_ENSG00000214897_ENSEMBL_ORTHOLOGUES_ALN_IDR_97_296_CONS.out.txt	NA	NA	NA
A0A0J9YXQ4_ENSG00000214897_ENSEMBL_ORTHOLOGUES_ALN_IDR_497_647_CONS.out.txt	NA	NA	NA
A0A0J9YY54_ENSG00000282419_ENSEMBL_ORTHOLOGUES_ALN_IDR_155_205_CONS.out.txt	0.32	0.52	0.13
A0A0J9YY54_ENSG00000282419_ENSEMBL_ORTHOLOGUES_ALN_IDR_246_676_CONS.out.txt	NA	NA	NA
A0A0K2S4Q6_ENSG00000284690_ENSEMBL_ORTHOLOGUES_ALN_IDR_142_167_CONS.out.txt	0.38	0.67	0.24
A0A0U1RQF7_ENSG00000263201_ENSEMBL_ORTHOLOGUES_ALN_IDR_88_101_CONS.out.txt	0.55	0.92	0.24
A0A0U1RQI7_ENSG00000283039_ENSEMBL_ORTHOLOGUES_ALN_IDR_20_234_CONS.out.txt	0.25	0.39	0.14
A0A0U1RQI7_ENSG00000283039_ENSEMBL_ORTHOLOGUES_ALN_IDR_891_959_CONS.out.txt	0.37	0.60	0.20
A0A0U1RQS6_ENSG00000282881_ENSEMBL_ORTHOLOGUES_ALN_IDR_91_106_CONS.out.txt	0.45	0.59	0.23
